A11,D6,A34,A43,C1169,A65,A75,P4,A93,A101,R4,A121,YR4,A143,A152,E2,A173,L1,A192,A201,K1
A12,D48,A32,A43,C5951,A61,A73,P2,A92,A101,R2,A121,YR2,A143,A152,E1,A173,L1,A191,A201,K2
A14,D12,A34,A46,C2096,A61,A74,P2,A93,A101,R3,A121,YR3,A143,A152,E1,A172,L2,A191,A201,K1
A11,D42,A32,A42,C7882,A61,A74,P2,A93,A103,R4,A122,YR4,A143,A153,E1,A173,L2,A191,A201,K1
A11,D24,A33,A40,C4870,A61,A73,P3,A93,A101,R4,A124,YR4,A143,A153,E2,A173,L2,A191,A201,K2
A14,D36,A32,A46,C9055,A65,A73,P2,A93,A101,R4,A124,YR4,A143,A153,E1,A172,L2,A192,A201,K1
A14,D24,A32,A42,C2835,A63,A75,P3,A93,A101,R4,A122,YR4,A143,A152,E1,A173,L1,A191,A201,K1
A12,D36,A32,A41,C6948,A61,A73,P2,A93,A101,R2,A123,YR2,A143,A151,E1,A174,L1,A192,A201,K1
A14,D12,A32,A43,C3059,A64,A74,P2,A91,A101,R4,A121,YR4,A143,A152,E1,A172,L1,A191,A201,K1
A12,D30,A34,A40,C5234,A61,A71,P4,A94,A101,R2,A123,YR2,A143,A152,E2,A174,L1,A191,A201,K2
A12,D12,A32,A40,C1295,A61,A72,P3,A92,A101,R1,A123,YR1,A143,A151,E1,A173,L1,A191,A201,K2
A11,D48,A32,A49,C4308,A61,A72,P3,A92,A101,R4,A122,YR4,A143,A151,E1,A173,L1,A191,A201,K2
A12,D12,A32,A43,C1567,A61,A73,P1,A92,A101,R1,A123,YR1,A143,A152,E1,A173,L1,A192,A201,K1
A11,D24,A34,A40,C1199,A61,A75,P4,A93,A101,R4,A123,YR4,A143,A152,E2,A172,L1,A191,A201,K2
A11,D15,A32,A40,C1403,A61,A73,P2,A92,A101,R4,A123,YR4,A143,A151,E1,A173,L1,A191,A201,K1
A11,D24,A32,A43,C1282,A62,A73,P4,A92,A101,R2,A123,YR2,A143,A152,E1,A172,L1,A191,A201,K2
A14,D24,A34,A43,C2424,A65,A75,P4,A93,A101,R4,A122,YR4,A143,A152,E2,A173,L1,A191,A201,K1
A11,D30,A30,A49,C8072,A65,A72,P2,A93,A101,R3,A123,YR3,A141,A152,E3,A173,L1,A191,A201,K1
A12,D24,A32,A41,C12579,A61,A75,P4,A92,A101,R2,A124,YR2,A143,A153,E1,A174,L1,A192,A201,K2
A14,D24,A32,A43,C3430,A63,A75,P3,A93,A101,R2,A123,YR2,A143,A152,E1,A173,L2,A192,A201,K1
A14,D9,A34,A40,C2134,A61,A73,P4,A93,A101,R4,A123,YR4,A143,A152,E3,A173,L1,A192,A201,K1
A11,D6,A32,A43,C2647,A63,A73,P2,A93,A101,R3,A121,YR3,A143,A151,E1,A173,L2,A191,A201,K1
A11,D10,A34,A40,C2241,A61,A72,P1,A93,A101,R3,A121,YR3,A143,A151,E2,A172,L2,A191,A202,K1
A12,D12,A34,A41,C1804,A62,A72,P3,A93,A101,R4,A122,YR4,A143,A152,E1,A173,L1,A191,A201,K1
A14,D10,A34,A42,C2069,A65,A73,P2,A94,A101,R1,A123,YR1,A143,A152,E2,A173,L1,A191,A202,K1
A11,D6,A32,A42,C1374,A61,A73,P1,A93,A101,R2,A121,YR2,A141,A152,E1,A172,L1,A192,A201,K1
A14,D6,A30,A43,C426,A61,A75,P4,A94,A101,R4,A123,YR4,A143,A152,E1,A172,L1,A191,A201,K1
A13,D12,A31,A43,C409,A64,A73,P3,A92,A101,R3,A121,YR3,A143,A151,E2,A173,L1,A191,A201,K1
A12,D7,A32,A43,C2415,A61,A73,P3,A93,A103,R2,A121,YR2,A143,A152,E1,A173,L1,A191,A201,K1
A11,D60,A33,A49,C6836,A61,A75,P3,A93,A101,R4,A124,YR4,A143,A152,E2,A173,L1,A192,A201,K2
A12,D18,A32,A49,C1913,A64,A72,P3,A94,A101,R3,A121,YR3,A141,A152,E1,A173,L1,A192,A201,K1
A11,D24,A32,A42,C4020,A61,A73,P2,A93,A101,R2,A123,YR2,A142,A152,E1,A173,L1,A191,A201,K1
A12,D18,A32,A40,C5866,A62,A73,P2,A93,A101,R2,A123,YR2,A143,A152,E2,A173,L1,A192,A201,K1
A14,D12,A34,A49,C1264,A65,A75,P4,A93,A101,R4,A124,YR4,A143,A151,E1,A172,L1,A191,A201,K1
A13,D12,A32,A42,C1474,A61,A72,P4,A92,A101,R1,A122,YR1,A141,A152,E1,A174,L1,A192,A201,K1
A12,D45,A34,A43,C4746,A61,A72,P4,A93,A101,R2,A122,YR2,A143,A152,E2,A172,L1,A191,A201,K2
A14,D48,A34,A46,C6110,A61,A73,P1,A93,A101,R3,A124,YR3,A141,A153,E1,A173,L1,A192,A201,K1
A13,D18,A32,A43,C2100,A61,A73,P4,A93,A102,R2,A121,YR2,A142,A152,E1,A173,L1,A191,A201,K2
A13,D10,A32,A44,C1225,A61,A73,P2,A93,A101,R2,A123,YR2,A143,A152,E1,A173,L1,A192,A201,K1
A12,D9,A32,A43,C458,A61,A73,P4,A93,A101,R3,A121,YR3,A143,A152,E1,A173,L1,A191,A201,K1
A14,D30,A32,A43,C2333,A63,A75,P4,A93,A101,R2,A123,YR2,A141,A152,E1,A174,L1,A191,A201,K1
A12,D12,A32,A43,C1158,A63,A73,P3,A91,A101,R1,A123,YR1,A143,A152,E1,A173,L1,A192,A201,K1
A12,D18,A33,A45,C6204,A61,A73,P2,A93,A101,R4,A121,YR4,A143,A152,E1,A172,L2,A192,A201,K1
A11,D30,A34,A41,C6187,A62,A74,P1,A94,A101,R4,A123,YR4,A143,A151,E2,A173,L1,A191,A201,K1
A11,D48,A34,A41,C6143,A61,A75,P4,A92,A101,R4,A124,YR4,A142,A153,E2,A172,L1,A191,A201,K2
A14,D11,A34,A40,C1393,A61,A72,P4,A92,A101,R4,A123,YR4,A143,A152,E2,A174,L1,A191,A201,K1
A14,D36,A32,A43,C2299,A63,A75,P4,A93,A101,R4,A123,YR4,A143,A152,E1,A173,L1,A191,A201,K1
A11,D6,A32,A41,C1352,A63,A71,P1,A92,A101,R2,A122,YR2,A143,A151,E1,A171,L1,A192,A201,K1
A14,D11,A34,A40,C7228,A61,A73,P1,A93,A101,R4,A122,YR4,A143,A152,E2,A172,L1,A191,A201,K1
A14,D12,A32,A43,C2073,A62,A73,P4,A92,A102,R2,A121,YR2,A143,A152,E1,A173,L1,A191,A201,K1
A12,D24,A33,A42,C2333,A65,A72,P4,A93,A101,R2,A122,YR2,A141,A152,E1,A172,L1,A191,A201,K1
A12,D27,A33,A41,C5965,A61,A75,P1,A93,A101,R2,A123,YR2,A143,A152,E2,A174,L1,A192,A201,K1
A14,D12,A32,A43,C1262,A61,A73,P3,A93,A101,R2,A123,YR2,A143,A152,E1,A173,L1,A191,A201,K1
A14,D18,A32,A41,C3378,A65,A73,P2,A93,A101,R1,A122,YR1,A143,A152,E1,A173,L1,A192,A201,K1
A12,D36,A33,A40,C2225,A61,A75,P4,A93,A101,R4,A124,YR4,A141,A153,E2,A173,L1,A192,A201,K2
A14,D6,A31,A40,C783,A65,A73,P1,A93,A103,R2,A121,YR2,A142,A152,E1,A172,L2,A191,A201,K1
A12,D12,A32,A43,C6468,A65,A71,P2,A93,A101,R1,A124,YR1,A143,A152,E1,A174,L1,A192,A201,K2
A14,D36,A34,A43,C9566,A61,A73,P2,A92,A101,R2,A123,YR2,A142,A152,E2,A173,L1,A191,A201,K1
A13,D18,A32,A40,C1961,A61,A75,P3,A92,A101,R2,A123,YR2,A143,A152,E1,A174,L1,A191,A201,K1
A11,D36,A34,A42,C6229,A61,A72,P4,A92,A102,R4,A124,YR4,A143,A151,E2,A172,L1,A192,A201,K2
A12,D9,A32,A49,C1391,A61,A73,P2,A94,A101,R1,A121,YR1,A141,A152,E1,A173,L1,A192,A201,K1
A12,D15,A34,A43,C1537,A65,A75,P4,A93,A103,R4,A121,YR4,A143,A152,E2,A173,L1,A192,A201,K1
A12,D36,A30,A49,C1953,A61,A75,P4,A93,A101,R4,A124,YR4,A143,A153,E1,A174,L1,A192,A201,K2
A12,D48,A30,A49,C14421,A61,A73,P2,A93,A101,R2,A123,YR2,A143,A152,E1,A173,L1,A192,A201,K2
